grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
125,20.5,78.5,32.819016,30.586594,36.665573,1430.5567866,300.2530776,3590.846496,0.0,1.0,1.0
126,20.5,79.5,32.0693,29.866655,35.504395,1014.0069528,295.64732445000004,4381.417842,0.0,1.0,1.0
127,20.5,80.5,32.119843,29.93781,35.69884,1944.115506,398.5640082,4707.632361,0.0,1.0,1.0
128,20.5,81.5,31.237242,29.237038,34.697014,1050.8336532,278.02701024,3486.5915790000004,0.0,1.0,1.0
129,20.5,82.5,32.285313,30.012756,35.405712,2049.5892945,862.1456289,4669.3043835,0.0,1.0,1.0
130,20.5,83.5,32.37417,30.17117,35.577354,2079.0378558,630.3341853,5204.7237705,0.0,1.0,1.0
131,20.5,84.5,32.488297,29.919456,35.213078,1489.7928069,408.0064422,3855.2537715,0.0,1.0,1.0
132,20.5,85.5,32.22989,29.700727,34.44051,1594.590996,470.4179334,4011.760404,0.0,1.0,1.0
133,20.5,86.5,32.283512,29.426855,34.26026,1522.5429261000002,359.3159433,5214.34074075,0.0,1.0,1.0
134,20.5,93.5,29.5747621994346,25.97421260497781,31.40433496531517,1377.602588182836,391.2225115405727,2927.9630539278805,0.0,1.0,1.0
135,20.5,94.5,29.31068782041909,25.78935531347216,31.098906621327025,1314.760896136083,378.666982014307,2498.159488767138,0.0,1.0,1.0
136,20.5,95.5,29.12529004908429,25.660450653096195,30.989388326681187,1259.345068535493,368.2434765054061,2119.594114925531,0.0,1.0,1.0
137,20.5,96.5,29.024409284562,25.586055970750667,31.084457872497616,1214.913175743506,360.2671587976343,1866.908899866136,0.0,1.0,1.0
138,20.5,97.5,28.98217603999563,25.55323142123144,31.211740971452475,1179.3829753762411,354.63120083604406,1706.1759745535774,0.0,1.0,1.0
139,20.5,98.5,28.98140490009224,25.526146904017192,31.37688410510017,1150.221340838985,351.00725999870565,1439.3863431363484,0.0,1.0,1.0
140,20.5,99.5,28.9844315916362,25.478967939593648,31.51074522139232,1153.081495674747,352.2464752037819,1385.1170450850484,0.0,1.0,1.0
141,21.5,70.5,32.777836,30.495024,35.36493,3221.366934,713.8284568500001,12381.520506,0.0,1.0,0.0
142,21.5,71.5,33.27643,30.905247,36.188717,2228.6784564,535.4646978000001,4828.0506615,0.0,1.0,0.0
146,21.5,75.5,31.878965,29.491114,36.054253,2995.9852320000005,1255.0695588,6281.610420000001,0.0,1.0,1.0
147,21.5,76.5,32.145203,29.9626,36.271606,1918.1015436,626.6195232,3609.979695,0.0,1.0,1.0
148,21.5,77.5,31.568521,29.590073,35.965897,1570.7362506,311.4468582,4043.37768,0.0,1.0,1.0
149,21.5,78.5,30.87875,28.658571,34.775692,1126.8264528,411.8556642,3084.5170635000004,0.0,1.0,1.0
150,21.5,79.5,31.201218,28.658161,34.785492,977.4006942,274.114707225,3347.720565,0.0,1.0,1.0
151,21.5,80.5,31.527813,29.173061,34.83714,1877.8418364,762.9431040000001,4356.16311,0.0,1.0,1.0
155,21.5,84.5,32.077656,29.574675,35.347553,1304.0774346,331.48952602500003,4698.606069,0.0,1.0,1.0
156,21.5,85.5,32.82202,29.790262,35.53035,1829.947113,731.9681946000001,5123.961936,0.0,1.0,1.0
157,21.5,86.5,32.278946,29.099045,34.410053,1512.43644,358.90251519000003,5159.840367,0.0,1.0,1.0
